latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
34.638,-87.084,304.4,1.6,1.3,7/13/2018,330,T,60,6.0NRT,292.9,7.9,N
36.333,-79.833,300.2,1.1,1,7/13/2018,330,T,21,6.0NRT,289.9,3.5,N
37.232,-82.039,305.9,1,1,7/13/2018,330,T,66,6.0NRT,290.1,7.4,N
37.726,-82.512,309.6,1,1,7/13/2018,330,T,78,6.0NRT,291,9.4,N
41.46,-81.677,302.9,1,1,7/13/2018,335,T,52,6.0NRT,292.1,4.9,N
41.366,-84.925,302.8,1,1,7/13/2018,335,T,51,6.0NRT,290.6,5.3,N
41.631,-87.144,306.8,1.2,1.1,7/13/2018,335,T,69,6.0NRT,291.4,8.6,N
41.668,-87.466,312.7,1.2,1.1,7/13/2018,335,T,85,6.0NRT,293.1,13.3,N
48.439,-80.644,318.1,1.3,1.1,7/13/2018,335,T,96,6.0NRT,284.3,26.6,N
48.447,-80.634,319.8,1.3,1.1,7/13/2018,335,T,99,6.0NRT,285,28.7,N
18.934,-70.351,302,2.3,1.5,7/13/2018,325,T,46,6.0NRT,291.5,13.9,N
32.189,-102.009,347.8,1.2,1.1,7/13/2018,510,T,100,6.0NRT,295.9,77.1,N
34.549,-100.071,312.5,1.7,1.3,7/13/2018,510,T,85,6.0NRT,292.5,19.8,N
34.547,-100.089,309.6,1.7,1.3,7/13/2018,510,T,78,6.0NRT,292.5,14.6,N
39.431,-107.044,301.8,1,1,7/13/2018,510,T,44,6.0NRT,284.2,6.4,N
39.43,-107.056,300.4,1,1,7/13/2018,510,T,20,6.0NRT,285.4,5.5,N
40.284,-108.43,302.8,1,1,7/13/2018,510,T,51,6.0NRT,289.9,5.4,N
42.682,-111.587,315.6,1.1,1.1,7/13/2018,510,T,92,6.0NRT,287.4,19.9,N
42.68,-111.6,307,1.1,1.1,7/13/2018,510,T,70,6.0NRT,285.3,12.1,N
26.099,-98.296,306.5,1.7,1.3,7/13/2018,505,T,60,6.0NRT,296.2,9.6,N
26.882,-101.451,309.6,1.1,1.1,7/13/2018,505,T,74,6.0NRT,297.8,6.5,N
26.887,-101.446,310.6,1.1,1.1,7/13/2018,505,T,68,6.0NRT,297.7,7.6,N
26.886,-101.458,315,1.1,1.1,7/13/2018,505,T,89,6.0NRT,298.5,12.1,N
18.927,-70.357,303,1.4,1.2,7/13/2018,610,A,52,6.0NRT,291.5,7.2,N
