latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.46296,-70.7635,301.5,0.78,0.78,2018-07-13,0518,N,nominal,1.0NRT,289.1,1.4,N
19.46198,-70.76035,301.7,0.78,0.78,2018-07-13,0518,N,nominal,1.0NRT,288.9,0.7,N
18.92687,-70.35658,311.8,0.73,0.76,2018-07-13,0518,N,nominal,1.0NRT,286.7,1.8,N
47.01341,-66.63175,297.6,0.67,0.74,2018-07-13,0512,N,nominal,1.0NRT,278.5,1.1,N
47.0065,-66.63193,301,0.67,0.74,2018-07-13,0512,N,nominal,1.0NRT,278.8,1.1,N
47.00711,-66.62808,305.1,0.67,0.74,2018-07-13,0512,N,nominal,1.0NRT,279.2,2.2,N
32.31262,-90.13889,306.8,0.44,0.62,2018-07-13,0700,N,nominal,1.0NRT,288.8,1.3,N
31.4563,-84.81078,322.3,0.42,0.45,2018-07-13,0700,N,nominal,1.0NRT,293.7,1.6,N
31.45485,-84.79738,307.6,0.42,0.45,2018-07-13,0700,N,nominal,1.0NRT,293.4,0.9,N
30.93921,-88.01425,308.5,0.32,0.55,2018-07-13,0700,N,nominal,1.0NRT,292.2,1.1,N
31.11225,-91.35416,301.9,0.51,0.66,2018-07-13,0700,N,nominal,1.0NRT,289.9,1.3,N
31.11194,-91.34873,311.2,0.51,0.66,2018-07-13,0700,N,nominal,1.0NRT,289.9,2.1,N
30.75042,-92.25433,302.8,0.57,0.69,2018-07-13,0700,N,nominal,1.0NRT,289.9,0.9,N
30.58403,-91.24252,308.6,0.49,0.65,2018-07-13,0700,N,nominal,1.0NRT,291.7,1,N
30.34343,-88.48949,311.5,0.34,0.56,2018-07-13,0700,N,nominal,1.0NRT,294.8,1.4,N
30.34315,-88.48592,307.1,0.34,0.56,2018-07-13,0700,N,nominal,1.0NRT,294.2,1.4,N
30.482,-91.18349,307.6,0.49,0.65,2018-07-13,0700,N,nominal,1.0NRT,292.4,3.1,N
30.32849,-91.28139,306.8,0.49,0.65,2018-07-13,0700,N,nominal,1.0NRT,291.9,0.9,N
30.32606,-91.23913,306.9,0.49,0.65,2018-07-13,0700,N,nominal,1.0NRT,292.7,2.4,N
30.32802,-91.28243,305.4,0.49,0.65,2018-07-13,0700,N,nominal,1.0NRT,292.1,1.1,N
30.32533,-91.24024,307.1,0.49,0.65,2018-07-13,0700,N,nominal,1.0NRT,292.9,1.7,N
